,Date,Lie,Explanation,URL
0,"Jan. 21, 2017",I wasn't a fan of Iraq. I didn't want to go into Iraq.,He was for an invasion before he was against it.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
1,"Jan. 21, 2017",A reporter for Time magazine — and I have been on their cover 14 or 15 times. I think we have the all-time record in the history of Time magazine.,Trump was on the cover 11 times and Nixon appeared 55 times.,http://nation.time.com/2013/11/06/10-things-you-didnt-know-about-time/
2,"Jan. 23, 2017",Between 3 million and 5 million illegal votes caused me to lose the popular vote.,There's no evidence of illegal voting.,https://www.nytimes.com/2017/01/23/us/politics/donald-trump-congress-democrats.html
3,"Jan. 25, 2017","Now, the audience was the biggest ever. But this crowd was massive. Look how far back it goes. This crowd was massive.",Official aerial photos show Obama's 2009 inauguration was much more heavily attended.,https://www.nytimes.com/2017/01/21/us/politics/trump-white-house-briefing-inauguration-crowd-size.html
4,"Jan. 25, 2017",Take a look at the Pew reports (which show voter fraud.),The report never mentioned voter fraud.,https://www.nytimes.com/2017/01/24/us/politics/unauthorized-immigrant-voting-trump-lie.html
5,"Jan. 25, 2017",You had millions of people that now aren't insured anymore.,"The real number is less than 1 million, according to the Urban Institute.",https://www.nytimes.com/2017/03/13/us/politics/fact-check-trump-obamacare-health-care.html
6,"Jan. 25, 2017","So, look, when President Obama was there two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that.",There were no gun homicide victims in Chicago that day.,https://www.dnainfo.com/chicago/2017-chicago-murders/timeline?mon=1
7,"Jan. 26, 2017",We've taken in tens of thousands of people. We know nothing about them. They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers? How do you vet them? You can't.,Vetting lasts up to two years.,https://www.nytimes.com/interactive/2017/01/29/us/refugee-vetting-process.html
8,"Jan. 26, 2017","I cut off hundreds of millions of dollars off one particular plane, hundreds of millions of dollars in a short period of time. It wasn't like I spent, like, weeks, hours, less than hours, and many, many hundreds of millions of dollars. And the plane's going to be better.",Most of the cuts were already planned.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
9,"Jan. 28, 2017",The coverage about me in the @nytimes and the @washingtonpost has been so false and angry that the Times actually apologized to its dwindling subscribers and readers.,It never apologized.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
10,"Jan. 29, 2017","The Cuban-Americans, I got 84 percent of that vote.",There is no support for this.,http://www.pewresearch.org/fact-tank/2016/11/15/unlike-other-latinos-about-half-of-cuban-voters-in-florida-backed-trump/
11,"Jan. 30, 2017","Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.","At least 746 people were detained and processed, and the Delta outage happened two days later.",http://markets.on.nytimes.com/research/stocks/news/press_release.asp?docTag=201701300400PR_NEWS_USPRX____CL99370&feedID=600&press_symbol=7311173
12,"Feb. 3, 2017","Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",There is no evidence of paid protesters.,https://www.nytimes.com/2017/01/28/nyregion/jfk-protests-trump-refugee-ban.html
13,"Feb. 4, 2017","After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",It never apologized.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
14,"Feb. 5, 2017","We had 109 people out of hundreds of thousands of travelers and all we did was vet those people very, very carefully.","About 60,000 people were affected.",http://www.politifact.com/truth-o-meter/statements/2017/feb/06/donald-trump/president-trump-says-109-people-were-affected-trav/
